hin2vec-- user OID-27342: reputation-1229, upvote-12, downvote-9.
hin2vec-- user OID-4325: reputation-9997, upvote-32, downvote-6.
hin2vec-- user OID-45696: reputation-465, upvote-9, downvote-0.
hin2vec-- user OID-7187: reputation-2607, upvote-3, downvote-0.
node2bits-- user OID-58210: reputation-157, upvote-0, downvote-0.
node2bits-- user OID-120: reputation-101, upvote-5, downvote-0.
node2bits-- user OID-328: reputation-325, upvote-1, downvote-1.
node2bits-- user OID-17952: reputation-10325, upvote-6, downvote-0.
node2bits-- user OID-95101: reputation-54, upvote-1, downvote-0.
deepWalk-- user OID-1055: reputation-639, upvote-4, downvote-0.
deepWalk-- user OID-62715: reputation-934, upvote-6, downvote-0.
deepWalk-- user OID-478: reputation-217, upvote-2, downvote-0.
deepWalk-- user OID-109142: reputation-543, upvote-3, downvote-1.
deepWalk-- user OID-42352: reputation-1323, upvote-6, downvote-0.
struc2vec-- user OID-7187: reputation-2607, upvote-3, downvote-0.
struc2vec-- user OID-8208: reputation-2930, upvote-5, downvote-2.
struc2vec-- user OID-17821: reputation-3504, upvote-9, downvote-0.
struc2vec-- user OID-15268: reputation-101, upvote-7, downvote-1.
struc2vec-- user OID-5075: reputation-443, upvote-0, downvote-0.

Target user OID-107: reputation-536, upvote-5, downvote-1.
CHAWE-- user OID-5075: reputation-443, upvote-0, downvote-0.
CHAWE-- user OID-7499: reputation-12358, upvote-10, downvote-0.
CHAWE-- user OID-22990: reputation-103, upvote-0, downvote-0.
CHAWE-- user OID-39: reputation-5484, upvote-4, downvote-0.
CHAWE-- user OID-305: reputation-11453, upvote-19, downvote-0.
HAWE-- user OID-2087: reputation-3325, upvote-16, downvote-1.
HAWE-- user OID-5075: reputation-443, upvote-0, downvote-0.
HAWE-- user OID-13294: reputation-761, upvote-41, downvote-0.
HAWE-- user OID-305: reputation-11453, upvote-19, downvote-0.
HAWE-- user OID-11: reputation-2525, upvote-14, downvote-2.
hin2vec-- user OID-32: reputation-3338, upvote-2, downvote-9.
hin2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
hin2vec-- user OID-144: reputation-981, upvote-0, downvote-0.
hin2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
hin2vec-- user OID-41289: reputation-101, upvote-1, downvote-0.
node2bits-- user OID-5075: reputation-443, upvote-0, downvote-0.
node2bits-- user OID-27588: reputation-636, upvote-5, downvote-0.
node2bits-- user OID-32: reputation-3338, upvote-2, downvote-9.
node2bits-- user OID-13199: reputation-151, upvote-3, downvote-1.
node2bits-- user OID-4586: reputation-101, upvote-0, downvote-0.
deepWalk-- user OID-32: reputation-3338, upvote-2, downvote-9.
deepWalk-- user OID-12: reputation-2184, upvote-6, downvote-0.
deepWalk-- user OID-11: reputation-2525, upvote-14, downvote-2.
deepWalk-- user OID-30: reputation-22647, upvote-104, downvote-9.
deepWalk-- user OID-22: reputation-14408, upvote-248, downvote-8.
struc2vec-- user OID-17821: reputation-3504, upvote-9, downvote-0.
struc2vec-- user OID-1160: reputation-3671, upvote-4, downvote-0.
struc2vec-- user OID-4669: reputation-370, upvote-2, downvote-0.
struc2vec-- user OID-108540: reputation-101, upvote-2, downvote-0.
struc2vec-- user OID-78423: reputation-178, upvote-3, downvote-0.

Target user OID-65: reputation-201, upvote-40, downvote-1.
CHAWE-- user OID-675: reputation-3389, upvote-0, downvote-0.
CHAWE-- user OID-24265: reputation-193, upvote-0, downvote-0.
CHAWE-- user OID-1659: reputation-334, upvote-0, downvote-0.
CHAWE-- user OID-35528: reputation-155, upvote-0, downvote-0.
CHAWE-- user OID-172: reputation-101, upvote-2, downvote-0.
HAWE-- user OID-24265: reputation-193, upvote-0, downvote-0.
HAWE-- user OID-1659: reputation-334, upvote-0, downvote-0.
HAWE-- user OID-7412: reputation-368, upvote-8, downvote-1.
HAWE-- user OID-82104: reputation-11, upvote-0, downvote-0.
HAWE-- user OID-40630: reputation-396, upvote-2, downvote-1.
hin2vec-- user OID-61: reputation-520, upvote-5, downvote-0.
hin2vec-- user OID-1659: reputation-334, upvote-0, downvote-0.
hin2vec-- user OID-15530: reputation-156, upvote-0, downvote-0.
hin2vec-- user OID-20662: reputation-63, upvote-0, downvote-0.
hin2vec-- user OID-26927: reputation-158, upvote-0, downvote-0.
node2bits-- user OID-1659: reputation-334, upvote-0, downvote-0.
node2bits-- user OID-7957: reputation-447, upvote-0, downvote-0.
node2bits-- user OID-15758: reputation-223, upvote-0, downvote-0.
node2bits-- user OID-15530: reputation-156, upvote-0, downvote-0.
node2bits-- user OID-20662: reputation-63, upvote-0, downvote-0.
deepWalk-- user OID-22: reputation-14408, upvote-248, downvote-8.
deepWalk-- user OID-2581: reputation-941, upvote-0, downvote-0.
